IP,Time,URL,Status,Method,HTTP
10.130.2.1,2017-11-29 15:04:31,/contest.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:04:34,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,302,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:04:35,/countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:04:41,/home.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:05:11,/contest.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:05:19,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,302,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:05:20,/countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:05:24,/home.php,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:05:30,/contest.php,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:05:35,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:07:26,/home.php,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:07:44,/,302,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:07:44,/login.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:07:45,/css/bootstrap.min.css,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:07:45,/css/font-awesome.min.css,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:07:45,/css/main.css,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:07:45,/css/normalize.css,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 15:07:45,/css/style.css,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:07:45,/js/vendor/modernizr-2.8.3.min.js,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:07:46,/js/vendor/jquery-1.12.0.min.js,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:07:46,/bootstrap-3.3.7/js/bootstrap.min.js,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:07:49,/fonts/fontawesome-webfont.woff2?v=4.6.3,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:07:57,/process.php,302,POST,HTTP/1.1
10.128.2.1,2017-11-29 15:07:57,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:07:58,/bootstrap-3.3.7/js/bootstrap.js,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:07:58,/js/vendor/moment.min.js,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:08:04,/contest.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:08:07,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,302,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:08:07,/countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:08:10,/contest.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 15:08:27,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,302,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:08:28,/countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:08:46,/contest.php,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 15:08:48,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,302,GET,HTTP/1.1
10.129.2.1,2017-11-29 15:08:49,/countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 15:08:52,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:11:18,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:11:21,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,302,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:11:21,/countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:11:24,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:11:32,/home.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:11:36,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,302,GET,HTTP/1.1
10.128.2.1,2017-11-29 15:11:36,/countdown.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
